title,abstract,year
Adapting Progressive MBSE Development to Document Based Contracts,"Every new program executed by BAE Systems Space Systems continues to improve and mature the Model Based Systems Engineering (MBSE) development position. While the benefits of MBSE are realized internally, each program is forced to regress to a legacy document-based structure for customer interaction and contract deliverables. Until there is a paradigm shift in how contracts are fulfilled, there will be a need to adapt the model to traditional document deliverables. This paper discusses the challenges of adapting Model Based System Engineering models and development processes with legacy document based contracts through document representation within the model combined with document exportation. BAE Systems has embraced Model Based Systems Engineering since 2016 and continues to expand its application. Satisfying document-based deliverables without duplication of effort and information is essential to continue the rapid adoption of Model Based Systems Engineering.",1970
Agile modeling of an evolving ballistic missile defense system with Object-Process Methodology,"Evolution of requirements and systems has led to the proliferation of agile development as a matter of course in the current technological landscape. The rate of change poses a significant dilemma to stakeholders regarding the amount of effort and resources they should invest in methodological practices, including modeling, design, analysis, and specification. The attempt to move quickly from concept to operation often leads to preference of expedience for gaining early time-to-market over quality and robustness. Rather than referring to the modeling vs. agility challenge as a dilemma, we perceive it as an opportunity for synergy. Building on Object-Process Methodology (OPM)-the new ISO-19450 standard, we propose an agile model-based systems engineering (MBSE) framework that facilitates, and fosters development agility and system evolution. This agile MBSE framework extends the traditional scope of system modeling to cover aspects of functional and structural evolution, phase transition, deployment feedback, and configuration interdependence. We demonstrate the applicability of agile MBSE on a hypothetical ballistic missile defense system, based on publicly available information on Iron Dome - an Israeli ballistic missile defense system with proven operational capability.",1970
V2X Communication Based System Development: Application on Intersection Assist with Co-Simulation,"Due to a greater demand for driving safety, vehicle-to-everything (V2X) communication studies has grown up. In this study, intersection assist (IA) function is developed to establish V2X communication in a vehicular network. Various tools are integrated into the co-simulation environment to execute the simulation. The main goal is to simulate different communication types, such as vehicle-to-vehicle (V2V) and vehicle-to-infrastructure (V2I), so several scenarios are created to simulate V2X communication. In Simulation of Urban Mobility (SUMO), simulations are performed for the given scenarios which are based on model-based systems engineering (MBSE) approach. Controllers are built in Simulink and used to control vehicles in SUMO, while Virtual Test Drive (VTD) is used to visualize the simulation in a 3D environment. Model.CONNECT™ is used to run each of these several tools simultaneously. MBSE section of this paper addresses the first major steps of system specification which are use case generation and requirement elicitation. Afterwards, specified use cases and requirements are modeled with systems modeling language (SysML) diagrams. The developed methodology shows that MBSE provides highly efficient advantages for the design of complex systems in terms of utilizing interconnectedness and traceability. Additionally, V2X impacts on the IA is analysed.",1970
An Authoritative Source of Truth System for UCAV Conceptual Design,"Model-Based Systems Engineering (MBSE) is a part of a long-term trend toward model-centric approaches. The Authoritative Source of Truth (AST) is a crucial step of digital transformation and a core component of MBSE. Benefits include help design teams shorten the design cycle, improve design efficiency, and ensure the accuracy of design models and data compared to traditional document-based co-design methods. Data-driven design is a new direction of Unmanned Combat Aerial Vehicles (UCAV) design, and UCAV is the main force of future air warfare. How to build a UCAV conceptual design AST system is a problem that needs to be solved. We design an AST construction methodology, develop an AST system by applying the methodology, and use the UCAV concept design case to test the usability of the AST system. More specifically, the methodology includes construction goals and objects, basic construction methods, AST architecture, collaborative construction methods, dynamic management methods, basic functions and derivative tools required. In addition, the validation process is requirement analysis, functional architecture design, scheme design, and dynamic management validation. The AST system can help the implementation of MBSE in the field of aircraft design. The AST system can also help meet the requirements of the conceptual design stage, which shows the feasibility of the construction methodology’s integrity. If the AST system is used in the aircraft’s detailed design phase, further models and data will be required, and the AST system will need to be upgraded.",1970
Developing a CubeSat Model-Based System Engineering (MBSE) reference model — Interim status #2,"Model-Based Systems Engineering (MBSE) is a key practice to advance the systems engineering discipline. The International Council on Systems Engineering (INCOSE) established the MBSE Initiative to promote, advance, and institutionalize the practice of MBSE. As part of this effort, the INCOSE Space Systems Working Group (SSWG) Challenge Team has been investigating the applicability of MBSE for designing CubeSats since 2011. The goal of the team is to provide a sufficiently complete CubeSat Reference Model that can be adapted to any CubeSat project. The INCOSE Systems Engineering Vision 2020 defines MBSE as “the formalized application of modeling to support system requirements, design, analysis, verification and validation activities beginning in the conceptual design phase and continuing throughout development and later life cycle phases.” At the core of MBSE is the development of the system model that helps integrate other discipline-specific engineering models and simulations. The team has been creating this system model by capturing all aspects of a CubeSat project using the Systems Modeling Language (SysML), which is a graphical modeling language for systems engineering. SysML diagrams are used to describe requirements, structures, behaviors, and parametrics from the system level down to the component level. Requirements and design are contained in the model rather than in a series of independent engineering artifacts. In the past three phases of the project, the team has created the initial iteration of the reference model, applied it to the Radio Aurora Explorer (RAX) mission, executed simulations of system behaviors, interfaced with commercial simulation tools, and demonstrated how behaviors and constraint equations can be executed to perform operational trade studies. The modeling effort starts anew in this fourth phase. The CubeSat Reference Model starts with an identification of potential stakeholders. A stakeholder is any entity that has an interest in the system including sponsor, end user, procurer, supplier, and regulatory agencies. The each stakeholder's needs, objectives, constraints, and measures of effectiveness are incorporated in the model. Constraints are those items fixed and not subject to trades such as mission budget and schedule. One of the stakeholders is the Cal Poly CubeSat project. The Cal Poly CubeSat Specification has been populated into its own SysML model to enable the content of the specification to be related to the CubeSat Reference Model. The CubeSat mission enterprise consists of the space system, ground system, launch services, launch vehicle interface system, and communication services. Since the reference model is being developed by a team effort, there is an obligation to protect the investment of time and knowledge of each team member. There also needs to be a licensing environment that is conducive to a user organization supporting the development of and use of the model. There will be a license that allows for non-commercial use and prohibits incorporating the model or model features into a commercial product.",1970
Configuration and Data Management of the NASA Power and Propulsion Element MBSE Model(s),"Systems engineers worldwide have been working to implement Model-Based Systems Engineering (MBSE) environments, tools, and methodologies. A significant, expected benefit from MBSE is a reduction in the time commitment for all aspects of systems engineering. Although advances in MBSE have occurred, a gap has emerged between the traditional configuration management (CM) processes for documents and those needed in an MBSE environment. MBSE is a tool to support systems engineers in requirements, design, analysis, verification, and validation activities from concept phase throughout the life cycle of the project. MBSE is not a new process being added to the existing SE processes, but captures the data that systems engineers create into a single environment. Systems engineers working in an MBSE environment have become more efficient and produce a higher resolution of data because elements representing the system of interest are placed within a single construct where requirements, architecture (physical & logical), and concept of operation scenarios are all related to one another. Historically, systems engineers capture and track system information through the generation of documents, drawings, and other artifacts, which are released, baselined, and governed by a document-centric CM process. The work required to maintain and distribute documents throughout the system life cycle using the traditional CM processes is a time-consuming task for both systems engineers and CM practitioners alike. The MBSE environment requires adaption of traditional CM processes or the creation of entirely new CM approaches in order to 1) manage the MBSE model output in data or documents and 2) perform CM within the actual digital model. Systems engineers and CM personnel from the Power and Propulsion Element (PPE) Project at NASA Glenn Research Center have developed and are continually improving a method for baselining and configuration-managing technical content within the PPE MBSE model(s). This paper describes the process of defining how to configuration manage not just the artifacts but the requirements, verifications, and functional decomposition of an MBSE model for an evolving project. The paper also presents the results of trial and error testing, required adjustments to CM processes, and lessons learned from developing CM processes for the PPE system-level requirements and generating procurement artifacts. While developed for the MBSE environment, these processes still address standard CM activities such as protecting NASA-sensitive and partner proprietary information, baselining content, processing change requests, and providing configuration status accounting.",1970
The Study of Design Resource Management and Sharing System Construction in Aviation Product MBSE Environment,"In order to meet the needs of Model-Based Systems Engineering (MBSE) development for aerospace products, a flow-driven R&D resource management and sharing mode was explored based on the existing MBSE design environment of the enterprise. In this way, resource management and sharing system can be constructed to realize collaborative development based on design process and resource fusion and sharing, and improve product development efficiency and innovation ability.",1970
Towards Round-trip Engineering to evolve Complex Production Systems by utilizing AutomationML,"Additive manufacturing and product configurations will become increasingly important in future production systems. This trend brings great opportunities for manufacturing companies, but also inherits challenges to overcome. Resulting from this, a heterogeneous tool-landscape has emerged, where each of the single tools is addressing a particular aspect of the value-creation network. An example for such a tool specifically targeting the engineering of such flexible production systems according to the Reference Architecture Model Industrie 4.0 (RAMI 4.0) has been proposed with the RAMI Toolbox. However, as universal frameworks are too general to deal with all aspects of developing such complex systems, other possibilities for conflictfree engineering of the system need to be available. Thus, the main contribution of this paper deals with proposing a Round-trip Engineering (RTE) approach, that allows to export previously modeled flexible production systems according to the peculiarities of RAMI 4.0 and subsequently reload external elaborated results. Thereby, a major benefit is the application of Model-based Systems Engineering (MBSE), which ensures the traceability to the remaining system components. The chosen methodology for bidirectionally exchanging the engineering data is AutomationML, which allows to store exported information from RAMI 4.0 or import such stored information into it. The RTE-approach is thereby evaluated with a real-world case study, the Siemens Fischertechnik industrial plant model.",1970
Cognitive Thread Supports System of Systems for Complex System Development,"Model-based Systems Engineering (MBSE) has been widely used in the development of complex systems. The system architectures, organizations, research and development processes using MBSE to design complex systems can be seen as a System of Systems (SoS), which has high complexity and hard to manage. The concept of digital thread is proposed to integrate all the models and data in the SoS. However, lack of cognition ability makes it hard to connect the models and data with human, processes and things in the SoS, which reduces the efficiency of complex system development. In this paper, a new concept named Cognitive Thread is first proposed as digital thread with augmented semantic capabilities for identifying the information of the SoS. Then a cognitive thread construction approach based on Open Services for Lifecycle Collaboration (OSLC) specification and knowledge graphs is proposed to support decision-making and management in the SoS. Finally, the feasibility of the proposed approach is verified through a case study of the advanced driver-assistance system development.",1970
An MBSE-based approach for the analysis of requirements towards engineering IT architectures,"Products are currently changing since various drivers increase complexity, e.g. digitalization. This does not only apply to systems, but also to engineering itself with its processes, methodologies and tools. On the one hand, approaches like Model-Based Systems Engineering or virtual verification and validation demonstrate that digitalization has the effect of demanding computer-interpretable and continuous sets of information. On the other hand, the approaches themselves require new functionalities regarding the engineering IT and thus raise new requirements. This paper presents a systematic approach to identify and analyze the requirements towards an engineering IT architecture. The approach is model-based and comes with modeling guidance and a meta-model to support the analysis.",1970
"A conceptual, methodological and technical contribution for Modeling and V&V in MBSE context","The role of modeling, verification, and validation, even not new in Systems Engineering, is increasingly highlighted as crucial expectation in Model Based System Engineering context (MBSE). However, some difficulties, needs, and locks must be considered to allow MBSE to grow in capabilities and maturity. This article clarifies some fundamental expectations for MBSE and proposes research findings to address some of the MBSE practitioners’ needs more precisely.",1970
Reuse in model-based systems engineering,"In model-based systems engineering, systems are built as models. Models are abstractions, since they are not the real physical parts, but a data representation of then in a computer. As such, it is tempting to establish a methodology and a system in which models can be shared among projects. When an engineer creates new models of components in a new project, her past experience in making similar components, as well as that of her colleagues, can be easily reused since no physical limitations get in the way. Models in our case are actually mathematical equations. Yet, the wide variety of design tools makes it difficult to take an existing component model created in one tool and reuse it in another. This problem is often classified as `tools interoperability' where models need to be shared among tools. Scenarios which give rise to such needs occur when teams collaborate on the same project, but belong to different organizations or different disciplines. Yet, the advantage of reuse is very obvious and presents a certain use case for interoperability. Our scenario would be a systems engineering organization that needs to support reuse in its design work. Our use-case would be different than the problem of product-lines. There, components are designed for ease of customization to match different, but similar requirements, while sharing one source that can be varied towards multiple different outcomes. Here, reuse can be applied too over a design for a product-line. Internet of Things (IoT) and design patterns will be looked at as well to be proper candidates to benefit from the approach to reuse as will be presented in this paper.",1970
Towards Standards-based Execution of System of Systems Models,"The ongoing transformation in the industry from a document-based systems engineering to a model-based systems engineering approach reveals a need for new methods of capturing and analyzing knowledge about the system. Moreover, complex real-life problems require the application of MBSE practices to enable evolving systems to communicate independently to achieve a common goal. This is the level of system of systems. At this level similar standardized model- based approaches are used to capture knowledge; however, most analysis is far from being standards based. Most of the tools provide proprietary approaches to analyze a system of systems. Is there a way to apply a standards-based approach to execute engineering analysis and behavioral simulation on a system of systems model? This paper describes the research used to answer this question.",1970
Incorporating Hardware-in-the-Loop Simulation into Object-Process Methodology,"We have designed and developed a way to incorporate Hardware-in-the-Loop (HIL) simulation into Model-Based Systems Engineering (MBSE) using Object-Process Methodology (OPM) ISO 19450. Implementing the HIL simulation in OPCloud, an OPM cloud-based conceptual and computational modeling framework, has enabled us to demonstrate industrial-strength capabilities. We describe the architecture of this OPM-HIL combined system and report on results with a real case study, in which the modeling encompasses stages starting with conceptual design and ending with HIL simulation and testing. This combination can serve as a basis for a model-driven systems operating system.",1970
Integrating Safety into MBSE Processes with Formal Methods,"Emerging segments such as Urban Air Mobility require new safety-critical avionic systems. The complexity of these avionic systems has ever been increasing, but even more rapidly in the last two decades in form of the number of components, functions, and interactions. At the same time, demanding time-to-market requirements have to be adhered to by development companies. To cope with these challenges, agile development approaches are required that guarantee safety-by-construction. This paper presents an endeavor to tackle these challenges by holistic utilization of Model-based Systems Engineering, System-Theoretic Process Analysis, and formal methods. The approach is demonstrated in a use-case that analyzes a simplified Collision Avoidance System architecture. Results show that the presented approach is able to improve the development by automating and validating error-prone tasks of the safety assessment.",1970
MBSE analysis for energy sustainability improvement in manufacturing industry,"With the ever increasing complexity of Industry 4.0 systems, plant energy management systems developed to improve energy sustainability become equally complex. Based on a Model-Based Systems Engineering analysis, this paper aims to provide a general approach to perform holistic development of an autonomous energy management system for manufacturing industries. This Energy Management System (EMS) will be capable of continuously improving its ability to assess, predict, and act, in order to improve by monitoring and controlling the energy sustainability of manufacturing systems. The approach was implemented with the System Modeling Language (SysML).",1970
Evolution of the Automotive Reference Architecture Model towards a Domain-Specific Systems Engineering Approach,"Due to the rising complexity in the automotive domain a suitable modeling framework to facilitate development as well as interdisciplinary communication is needed. In the domain of smart grids, the Smart Grid Architecture Model (SGAM) framework turned out to be a suitable tool for coping with complexity whilst providing cross-disciplinary understanding. A similar approach exists for the automotive domain: the Automotive Reference Architecture Model (ARAM) framework. As opposed to other automotive frameworks, this one offers interoperability with the smart grid framework, which simplifies cross-domain collaboration. During the development of ARAM, the Software Platform Embedded Systems (SPES) methodology gained momentum. This methodology can be considered an architectural model while the automotive framework can be considered an analysis model, according to the domain-specific systems engineering approach. In order to follow this approach, a transformation between the two models must be possible. This work-in-progress paper aims at presenting first approaches of an adapted version of the ARAM framework, proposing a reworked structure that is compatible with both, SGAM and SPES.",1970
Deploying MBSE in SME context: revisiting and equipping Digital Mock-Up,"The deployment of Model Based System Engineering (MBSE) in the context of Small and Medium-sized Enterprises (SMEs) have numerous benefits, among others, to face growing product complexity and market evolution. However, deploying MBSE based on classical standards such as the ISO 29110 can become an overly burdensome process that does not appropriately meet the needs of the SME in terms of SME culture, organization, expectations, resources, skills and tools, as well as in assuring the digital continuity of SMEs. This article proposes an approach for an eased, accelerated and successful deployment of MBSE in SME context based on the Digital Mock-Up concept.",1970
"The Model Fidelity Hierarchy: From Text to Conceptual, Computational, and Executable Model","Model-based systems engineering applies a variety of model kinds, each with its own fidelity and exactness level. Based on experience we gained while modeling an aircraft landing gear with the objective of numerically defining its various parameters that fulfill engineering and safety requirements, we present the model fidelity hierarchy (MFH). At this hierarchy's bottom, vaguest level, is spoken language, followed by free written text, conceptual model, its augmentation with computational capabilities, and finally an executable version of that model. Using object-process methodology (OPM ISO 19450) with its computational extension, we present this hierarchy by describing the landing gear model as it progresses through these levels, and the kinds of mistakes revealed while transitioning from one level to the next. The MFH, identified and defined in this article, is made possible by using OPM, which enables these level transitions to be information lossless, providing the most value while requiring the minimal effort. The ability of this continuous, seamless modeling approach to detect errors with increasing accuracy justifies our OPM approach, as errors revealed in this early system lifecycle stage are exponentially less costly to correct than those revealed downstream.",1970
A Knowledge Based System architecture to manage and automate the electrical machine design process,"The rotating electrical machine industry is known for the optimal development of solutions through the experience of manufacturers, and its competitiveness is based on serial production that amortizes initial design efforts. The new concept industry 4.0 is a great opportunity to improve the competitiveness in a global market for small-medium size electric machinery companies. Therefore, it is mandatory these companies adopt new technologies offering customized products fulfilling the customers' requirements according to their investment capacity. To support the aforementioned issue, a new Knowledge-Based System (KBS) model for electrical machine design is introduced. This model socalled GSMWV2 stands for the steps of Gather, Standardized and Model the knowledge with the Wrapper process and the two Verein Deutscher Ingenieure (VDI) methodologies integration VDI-2221 and VDI-2206. It comprises the electrical machine development methodology and the knowledge integration process. This paper will conceptually describe this model and the integration of current industrial technologies such as Model-Based Systems Engineering (MBSE), Project Lifecycle Management (PLM), Project Data Management (PDM), multiphysics and analytic tools co-simulation with KBS tools. This architecture will be able to manage and automate tasks in the development process of electrical machines with emphasis on the design process.",1970
DEVS-Based Simulation for Search and Rescue Missions Involving Multiple UAVS,"Using Unmanned Aerial Vehicles (UAVs) for searching for targets is a complex problem whose applications range from military operations (e.g. targets localization or border surveillance) to civil missions (e.g. mountain or sea rescue). Simulations of real-world operations play an important role in determining the best search strategies to be used. The high number of elements involved in the problem makes real-time simulations an useful tool for system elements coordination, data handling confluence, etc. Model-Based Systems Engineering (MBSE) principles can also be exploited to define the behavior of the whole system from the behaviors of its elements. This paper presents a Discrete Event System Specification (DEVS) modular and hierarchical architecture for simulating real-world target-search scenarios that enhances the adaptability, reusability and scalability properties of our system. The simulations show the benefits of our architecture, which allows to automatically profile and straightforward evaluate different models to select the best alternative.",1970
Developing a CubeSat Model-Based System Engineering (MBSE) Reference Model - interim status,"Model-Based Systems Engineering (MBSE) is a key practice to advance systems engineering that can benefit CubeSat missions. MBSE creates a system model that helps integrate other discipline specific engineering models and simulations. The system level model is initiated at the start of a project and evolves throughout development. It provides a cohesive and consistent source of system requirements, design, analysis, and verification. The International Council on Systems Engineering (INCOSE) Space Systems Working Group (SSWG) established the Space Systems MBSE Challenge team in 2007. The SSWG Challenge team has been investigating the applicability of MBSE for designing CubeSats since 2011. Our application of MBSE uses System Modeling Language (SysML), a graphical modeling language. SysML is used to model all aspects of a system either directly or through an interface with another model. SysML diagrams are used to describe requirements, structures, behaviors, and parametrics from the system down to the component level. The first phase of SSWG CubeSat project created a CubeSat reference model that was applied to the Radio Aurora Explorer (RAX), a three-unit CubeSat developed by SRI International and the Michigan Exploration Laboratory at the University of Michigan. The second phase focused on expanding the RAX CubeSat model to include modeling behaviors and interfacing with several Commercial Off the Shelf (COTS) simulation tools. The third phase was comprised of two activities. The first was the development of a CubeSat Enterprise Model to capture cost and product Iifecycle aspects for the mission spacecraft and problem domain. The second activity incorporated additional design and operational characteristics into the RAX model. The modeling effort starts anew in this fourth phase and has two objectives: 1) Develop a CubeSat Reference Model that other projects can use as a starting point for their mission specific CubeSat model. The space and ground systems, subsystems, and components are being modeled throughout the entire project Iifecycle. 2)Develop a CubeSat Project Model that models how CubeSat design and development are to be accomplished. The first objective is in response to: ""Model-based systems enj!ineerinj! (MBSE) is the formalized application of modelinj! to support system requirements, desij!n, analysis, verification and validation activities bej!inninj! in the conceptual desij!n phase and continuing throughout development and later life cycle phases."" The second objective is in response to: ""A MBSE methodology is a collection of related processes, methods, and tools used to support the discipline of systems engineering in a 'modelbased' or 'model-driven' context."" The effort to date has been focused on establishing nomenclature; the incorporation of the stakeholders and their needs, objectives, measures of effectiveness; and the architecture down to the logical subsystems. The next step is to determine the level of model definition at each of the Iifecycle stages and to create models for the concept and development phases. The CubeSat Reference Model will be rolled-out in a controlled fashion to make certain that model is understandable and useful. The requests and applications of the model have fallen into two categories: 1) Using the model within an aerospace engineering course and 2) evaluating the application of MBSE within an aerospace program.",1970
MBSE-driven visualization of requirements allocation and traceability,"In a Model Based Systems Engineering (MBSE) infusion effort, there is a usually a concerted effort to define the information architecture, ontologies, and patterns that drive the construction and architecture of MBSE models, but less attention is given to the logical follow-on of that effort: how to practically leverage the resulting semantic richness of a well-formed populated model to enable systems engineers to work more effectively, as MBSE promises. While ontologies and patterns are absolutely necessary, an MBSE effort must also design and provide practical demonstration of value (through human-understandable representations of model data that address stakeholder concerns) or it will not succeed. This paper will discuss opportunities that exist for visualization in making the richness of a well-formed model accessible to stakeholders, specifically stakeholders who rely on the model for their day-to-day work. This paper will discuss the value added by MBSE-driven visualizations in the context of a small case study of interactive visualizations created and used on NASA's proposed Europa Mission. The case study visualizations were created for the purpose of understanding and exploring targeted aspects of requirements flow, allocation, and comparing the structure of that flow-down to a conceptual project decomposition. The work presented in this paper is an example of a product that leverages the richness and formalisms of our knowledge representation while also responding to the quality attributes SEs care about.",1970
MBSE Applications for the MSR SRC Mars Ascent Vehicle,"The objective of the NASA Mars Sample Return (MSR) Campaign is to collect samples from the surface of Mars and return them to Earth for scientific research. The Mars Ascent Vehicle (MAV) will be integrated into a larger Mars Sample Retrieval Lander (SRL) for transit to and storage on Mars. After all Martian samples have been collected and loaded into the MAV payload assembly, MAV will deliver the samples from the Martian surface to Mars orbit. A separate spacecraft, the Earth Return Orbiter (ERO) will retrieve the samples from Mars orbit and return them to Earth. To address common systems engineering challenges associated with using traditional systems engineering practices on complex projects, the MAV systems engineering team has explored implementation of Model-Based Systems Engineering (MBSE) tools and languages. This paper describes the current state of implementation and development of the MAV MBSE model with the Systems Modeling Language (SysML) within the scope of the MAV Systems Requirement Cycle (SRC) systems engineering workflow. The MAV MBSE model has been developed within Magic Draw – a SysML editor commonly used to implement MBSE. The MAV MBSE model has been used to develop mission phase functional flow diagrams for the Concept of Operations, decompose mission to vehicle subsystem functions, develop a functional decomposition, derive functional requirements, trace requirements up to customer-imposed requirements, trace requirements within MAV requirement space, identify requirements trace gaps, define and map the physical design space architecture, allocate requirements to subsystems, develop validation items, define assembly, integration, and test (AI&T) operations, and trace these items across driving goals to develop an integrated digital thread of systems engineering information used to drive design specifications, decision making, and ultimately design verification and validation. Findings and results associated with implementing MBSE in these ways, alongside traditional methods will be discussed.",1970
"Not (strictly) relying on SysML for MBSE: Language, tooling and development perspectives: The Arcadia/Capella rationale","Using the Arcadia/Capella solution as an example, this paper explores why standard UML/SysML languages are not necessarily the unique or best alternatives for implementation of a model-based systems engineering solution (MBSE). The Thales experience is used to elicit MBSE language and tooling requirements. This paper analyzes various implementation alternatives and justifies structuring choices made regarding Capella to efficiently support the Arcadia engineering method.",1970
MBSE without a process-based data architecture is just a random set of characters,"This paper describes the importance of developing a Process-Based Data Architecture as part of pursuing a Model Based Systems Engineering Methodology. The purpose of this paper is to introduce the user to best practices in developing a Model Based Systems Engineering (MBSE) approach, focusing on the definition of the Data Architecture.",1970
Architecture Framework Standardization for Satellite Software Generation Using MBSE and F Prime,"An Architecture Framework (AF) describes a system's product taxonomy; utilization of the same AF between dissimilar projects, industries, or nations standardizes communication about a system if AF products are used to describe the system. Software is ubiquitous to complex systems but has not received requisite attention in AF product representation or standardization. The most advanced and widely used AFs employ Model-Based Systems Engineering (MBSE) tenets to communicate system elements to Stakeholders; generating system software architectures as MBSE artifacts alongside non-software artifacts is possible for space systems when using F Prime, a software framework from the Jet Propulsion Lab. NASA recently published the Space Mission Architecture Framework (SMAF) for use on uncrewed, robotic missions, and AF products for software architecture generation using the Systems Modeling Language (SysML) and F Prime are presented here in SMAF format. In contrast to an AF, which describes the products that can be created for a system or mission, a Mission Architecture Framework (MAF) such as the SMAF describes the products that should be created for a mission. MBSE definitions are established in the context of a MAF, products for software architecture generation are defined in the hierarchy and style of the SMAF, and examples of software architecture generation as MBSE artifacts from SysML are provided using the Alabama Burst Energetics eXplorer (ABEX) CubeSat mission as a case study.",1970
Applying Model Based Safety Assessment for Aircraft Landing Gear System Certification,"New aircraft certification includes Systems Safety Assessment and Flight Testing for verifying compliance to various certification standards, noise testing, reliability testing, human factors analysis and qualitative assessments of flying qualities. The Model-Based Systems Engineering methodology has demonstrated its usefulness and practicality for performance validation of aircraft critical systems like the flight control systems prior to the start of actual qualification testing or flight testing. Use of model based methodology can be applied to failure and safety assessment tasks and certification process. Initial adaptation of MBSE was limited to aircraft systems related to electronics, avionics and software based components. There are some challenges in implementing Model-Based Safety Analysis to mechanical and electro-mechanical based systems like aircraft wheel braking system and nose steering system. MBSA promotes and supports virtual flight testing and is a powerful tool for verifying design and safety related malfunctions particularly for those failures conditions where it may not be possible to test these during the regular flight test regime.",1970
Model-driven systems engineering for netcentric system of systems with DEVS unified process,"Model-Based Systems Engineering (MBSE) employs model-based technologies and established systems engineering practices. Model-Driven Engineering (MDE) provides various concepts to automate model based practices using metamodeling. We describe the DEVS Unified Process (DUNIP) that aims to bring together MBSE and MDE as Model-driven Systems Engineering (MDSE) and apply it in a netcentric environment. We historically look at various model-based and model-driven flavors and suggest MDSE/DUNIP as one of the derived methodologies. We describe essential elements in DUNIP that facilitate integration with architecture solutions like Service Oriented Architecture (SOA), Event Driven Architectures (EDA), Systems Entity Structures (SES) ontology, and frameworks like Department of Defense Architecture Framework (DoDAF 2.0). We discuss systems requirement specifications, verification and validation, metamodeling, Domain Specific Languages (DSLs), and model transformation technologies as applicable in DUNIP. In this article, we discuss the features and contributions of DUNIP in netcentric system of systems engineering.",1970
Traditional to Modern Antenna Test Environments: The Impact of Robotics And Computational Electromagnetic Simulation on Modern Antenna Measurements,"Many traditional antenna test facilities are designed with a specific measurement application in mind. As a result, these facilities tend to have fixed measurement geometries with much of the range performance analysis being performed only once, during the design phase of the test facilities implementation. Modern antenna measurement ranges employing multi-axis robotic positioners provide a near limitless degree of re-configurability in terms of measurement types and scan geometries. This drives an ongoing need to evaluate each unique setup and application. Model based Systems Engineering and development (MBSE/MBD) approaches can be employed to dramatically reduce the time, effort, and cost associated with the test development and validation phases of a given program. MBSE tools can also be used to optimize test configurations to greatly reduce measurement uncertainties. This paper provides an overview of how these engineering techniques are being harnessed during the implementation of a new dual multi-axis robotic antenna test system.",1970
Extending the Concept of Domain Specific Systems Engineering to System-of-Systems,"With the ongoing evolution of cyber-physical systems (CPS) new methods are required to deal with complexity. The concept of Model Based Systems Engineering (MBSE) appears to be a promising approach, even though the common paradigm of object modelling poses a challenge for stakeholders from different domains. To better enable stakeholder integration, in recent past the concept of Domain Specific Systems Engineering (DSSE) has been proposed. This concept aims at establishing a modelling approach around domain specific viewpoints and model kinds. The DSSE approach could have been validated in different domains so far. To enable the integration of systems from different domains into System-of-Systems (SoS), this paper contributes conceptual thoughts on how to extend the DSSE approach for application in System-of-Systems Engineering (SoSE). For this purpose, the paper first gives a brief summary on the core concepts of DSSE. Further, a case study is realized to learn about the needs and limitations when it comes to extending DSSE for System-of-Systems Engineering. Finally, identified research items are discussed in more detail and an outlook to our future work is presented.",1970
Modeling of the flight system design in the early formulation of the Europa Project,"During the early formulation stage of a mission concept, the multiple and frequent changes made to the system design present various systems engineering challenges, including: ensuring the internal consistency of multiple engineering reports describing distinct aspects of the same flight system; capturing the interdependencies between subsystems to guide the design iteration process; minimizing the amount of rework needed when the design is modified; managing multiple architectural alternatives while leveraging commonality; and finally providing traceability of the design changes made over time. This paper describes how such challenges have been partly addressed by the Model-Based Systems Engineering Team (MSET) on the Europa Project at the Jet Propulsion Laboratory (JPL), through the application of Model-Based Systems Engineering (MBSE) techniques. The paper first discusses the principle of Single-Source-of-Truth (SSoT) and how it can be supported by the use of a well-structured system model relying on a rich vocabulary (e.g., based on the SysML language). The application of modeling patterns to organize the Flight System design information and make it queryable is then examined, with specific examples used on the Europa project (such as launch dry mass, electrical power, thermal power, fields-of-view). The benefits of checking formal rules to verify the correctness of the model and ensure that changes were properly incorporated are also discussed. The paper then presents model organization strategies that maximize the reuse of information across multiple design architectures that are explored in early formulation, as well as various practices used to control the numerous changes made to the model as the design matures. Finally, the paper concludes with a summary of the lessons learned from using a system model on the Europa project in order to capture design information about the Flight System. This has proved to play a key role in delivering high-quality representations of the spacecraft design to a variety of stakeholders as well as demonstrating its viability.",1970
A hierarchical set of SysML Model-based objects for tolerance specification,"Modern engineering systems are getting complex and integrate multi-physical objects. The Model-Based System Engineering (MBSE) seems to be the best way to manage complex system design and the Systems Modeling Language (SysML) may be considered one of the computer languages to perform the designing of a complex system. MBSE also seems to be a valid solution to integrate tolerance specification into design process. In particular, in the present work SysML is used to create a set of libraries containing simple and complex volumes, primary datum and tolerance zones, according to ASME Y14.5M and ISO 1101 standards. The generation of these libraries is based on the Technologically and Topologically Related Surfaces (TTRS) model and uses the set of thirteen positioning constraints able to represent every condition between assembly features. The paper summarizes the characteristics of the created SysML objects, able to represent Datum, Datum Reference Frame (DRF) and tolerance zones. In particular, the Datum included in ASME Y14.5-M are modelled. Then, all the tolerance zones included in both standards are modelled. Finally, a three-step procedure is summarized to preliminary illustrate the way of use the developed set of SysML objects.",1970
